UserId,UserName,UserHandle,FollowingId,FollowingName,FollowingHandle
321488707,Jay Wright,VUCoachJWright,1289769902,Delaware Blue Coats,blue_coats
321488707,Jay Wright,VUCoachJWright,2978837542,Governor Tom Wolf,GovernorTomWolf
321488707,Jay Wright,VUCoachJWright,3761980875,Laura Kurz,laurakurz3
321488707,Jay Wright,VUCoachJWright,44990136,x - PhilaUnion,PhilaUnion
321488707,Jay Wright,VUCoachJWright,56513292,USA Basketball Youth,USABYouth
321488707,Jay Wright,VUCoachJWright,996822612587307008,Mike Francesa,MikeFrancesa
321488707,Jay Wright,VUCoachJWright,191959668,Villanova University Band,villanovaband
321488707,Jay Wright,VUCoachJWright,44464220,Purdue’s Matt Painter,CoachPainter
321488707,Jay Wright,VUCoachJWright,31122496,NCAA,NCAA
321488707,Jay Wright,VUCoachJWright,994335752312979463,Mikal Bridges,mikal_bridges
321488707,Jay Wright,VUCoachJWright,729913958,Joe Cremo,JCremo24
321488707,Jay Wright,VUCoachJWright,2175273741,justin moore,YooJustoo
321488707,Jay Wright,VUCoachJWright,772354440,Mkwiz,M_Kennedy4
321488707,Jay Wright,VUCoachJWright,500704345,Pope Francis,Pontifex
321488707,Jay Wright,VUCoachJWright,24840770,Wells Fargo Center,WellsFargoCtr
321488707,Jay Wright,VUCoachJWright,2685803991,Eric Dixon,BigEballer_
321488707,Jay Wright,VUCoachJWright,18639734,Nasdaq,Nasdaq
321488707,Jay Wright,VUCoachJWright,17487307,Austin Spurs,austin_spurs
321488707,Jay Wright,VUCoachJWright,16867043,NBA G League,nbagleague
321488707,Jay Wright,VUCoachJWright,101822770,John Beilein,JohnBeilein
321488707,Jay Wright,VUCoachJWright,3012497117,Chris Heck,chrisheck76
321488707,Jay Wright,VUCoachJWright,331046873,Upper Darby Police,UDPolice
321488707,Jay Wright,VUCoachJWright,44455249,Brian Beacham,BrianBeachamVU
